,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
166,54,4,1098,Petr,Michek,Mgr.,,40,právník,Přemyslovice,589934,764,764,0,450,1.24,1.24705556325342,0,0,0,0.0,0.0,0,0,,Ano prosperitě Znojemska
167,54,5,53,Karel,Podzimek,MUDr.,,57,lékař,Znojmo,593711,53,53,0,5668,15.7,15.70735762782319,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
168,54,6,7,Pavel,Štohl,Ing.,,54,prorektor vysoké školy,Znojmo,593711,99,7,0,8921,24.72,24.72218373285298,2,0,8326,53.87,53.87950559761858,1,0,,Česká strana sociálně demokratická
169,54,7,80,Petr,Krátký,Ing.,,63,projektant,Znojmo,593711,47,80,0,3199,8.86,8.86517943743937,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
170,54,8,172,Vladimír,Železný,PhDr.,,69,manažer,Bratislava,999997,172,172,0,3267,9.05,9.05362338921989,0,0,0,0.0,0.0,0,0,,NEZÁVISLÍ DEMOKRATÉ
171,57,1,659,Zdeněk,Šigut,PhDr. Mgr.,"Ph.D., MPH",58,"vysokoškolský pedagog, mediátor",Újezd u Brna,584045,721,721,0,5238,11.65,11.65735650857944,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
172,57,2,7,Ivo,Bárek,Ing.,,52,senátor Parlamentu ČR,Vyškov,592889,7,7,0,15155,33.72,33.72799501479981,2,0,11023,53.22,53.22549492998551,1,0,,Česká strana sociálně demokratická
173,57,3,47,Zdeněk,Koudelka,Ing. arch.,,58,"architekt, vedoucí střediska",Bučovice,592943,47,47,0,5181,11.53,11.53050096810807,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
174,57,4,1,Roman,Celý,Bc.,DiS.,40,náměstek hejtmana Jihomoravského kraje,Vyškov,592889,1,1,0,10244,22.79,22.79838871208243,2,0,9687,46.77,46.77450507001448,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
175,57,5,768,Pavel,Zůna,Ing.,"MSS., Ph.D.",52,vysokoškolský učitel,Dražovice,592994,768,768,0,9115,20.28,20.28575879643024,0,0,0,0.0,0.0,0,0,,ANO 2011
176,60,1,53,Jan,Bobrovský,Mgr.,,69,basketbalový trenér,Brno,3,99,53,0,6410,15.77,15.77419037306821,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
177,60,2,768,Karel,Schmeidler,doc.Ing.arch.PhDr.,CSc.,63,architekt urbanista,Brno,3,768,768,0,6049,14.88,14.8858155330249,0,0,0,0.0,0.0,0,0,,ANO 2011
178,60,3,47,Helena,Sýkorová,JUDr.,,59,právnička,Brno,3,47,47,0,2952,7.26,7.26449453686386,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
179,60,4,659,Michal V.,Marek,prof. RNDr. Ing.,"DrSc., dr.h.c.",60,vědecký pracovník,Brno,3,721,721,0,3834,9.43,9.43498375824392,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
180,60,5,7,Karel,Doležal,Ing.,,66,ředitel Úrazové nemocnice Brno,Brno,3,7,7,0,7102,17.47,17.47711388916231,2,0,7582,36.3,36.30878268365099,0,0,,Česká strana sociálně demokratická
181,60,6,1,Zdeněk,Papoušek,PhDr.,,57,"sociolog, dramatik, středoškolský profesor",Brno,3,99,1,0,8061,19.83,19.83709026478984,2,0,13300,63.69,63.691217316349,1,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
182,60,7,1066,Miloslava,Pošvářová,Ing.,Ph.D.,51,soudní znalec,Brno,3,99,5,0,4231,10.41,10.41194999507825,0,0,0,0.0,0.0,0,0,,Miloslava Pošvářová do Senátu-Koalice SZ a Piráti
183,60,8,788,Jiří,Šoltys,,,45,"technik, konzultant",Lelekovice,583286,99,788,0,457,1.12,1.12461856481937,0,0,0,0.0,0.0,0,0,,Občané České republiky
184,60,9,1002,Miloš,Janeček,prof. MUDr.,CSc.,63,lékař,Česká,582921,99,1002,0,1540,3.78,3.7897430849493,0,0,0,0.0,0.0,0,0,,Republika
185,63,1,768,Antonín,Prachař,Ing.,,51,stavební inženýr,Želatovice,523640,768,768,0,11576,30.17,30.17176219146662,2,0,8027,45.73,45.73789173789173,0,0,,ANO 2011
186,63,2,659,Dušan,Hluzín,Mgr.,,49,náměstek primátora,Přerov,511382,721,721,0,1574,4.1,4.10248390543957,0,0,0,0.0,0.0,0,0,,TOP 09  a Starostové
187,63,3,7,Michal,Chromec,MUDr.,,66,interní a praktický lékař,Přerov,511382,99,7,0,4951,12.9,12.90431881564886,0,0,0,0.0,0.0,0,0,,Česká strana sociálně demokratická
188,63,4,47,Miroslav,Raindl,Mgr.,,60,"vedoucí střediska výchovné péče, dětský psycholog",Hranice,513750,47,47,0,4937,12.86,12.86782912398675,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
189,63,5,303,Jitka,Seitlová,RNDr.,,60,zapsaná mediátorka,Lipník nad Bečvou,514705,99,5,0,15329,39.95,39.95360596345818,2,0,9523,54.26,54.26210826210826,1,0,,Koalice SZ a KDU-ČSL s podporou České pirátské str
190,66,1,768,Jan,Zahradníček,Ing.,,54,starosta obce Medlov,Medlov,552372,99,768,0,9724,25.34,25.34139476701761,2,0,7015,46.12,46.12400552304556,0,0,,ANO 2011
191,66,2,155,Jiří,Novák,,,58,architekt,Praha 5,500143,99,155,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,DOMOV
192,66,3,1,Alena,Šromová,MUDr.,,55,praktický lékař,Litovel,503444,1,1,0,9613,25.05,25.05212133847597,2,0,8194,53.87,53.87599447695443,1,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
193,66,4,792,Pavel,Foretník,RNDr.,,64,ředitel Radia Haná,Olomouc,500496,99,792,0,2053,5.35,5.35025539455853,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
194,66,5,7,Karel,Korytář,Ing.,,65,senátor,Uničov,505587,7,7,0,7508,19.56,19.56635046387991,0,0,0,0.0,0.0,0,0,,Česká strana sociálně demokratická
195,66,6,1002,Zdenka,Wagnerová,,,62,OSVČ,Olomouc,500496,1002,1002,0,365,0.95,0.95121442718649,0,0,0,0.0,0.0,0,0,,Republika
196,66,7,53,Radek,Vincour,Mgr.,,47,ředitel kulturního zařízení - hudebník,Uničov,505587,53,53,0,4689,12.21,12.21984780569165,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
197,66,8,47,Zdeněk,Beňo,,,57,technik životního prostředí,Uničov,505587,47,47,0,4420,11.51,11.51881580318982,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
198,69,1,7,Jiří,Hájek,Bc.,,53,ředitel společnosti,Frýdek-Místek,598003,7,7,0,7219,19.62,19.62271331104406,2,0,8479,43.98,43.98734177215189,0,0,,Česká strana sociálně demokratická
199,69,2,1,Jiří,Carbol,Ing.,,55,starosta obce,Dobrá,598089,1,1,0,8072,21.94,21.9413411617603,2,0,10797,56.01,56.0126582278481,1,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
200,69,3,768,Stanislav,Fridrich,Ing.,,57,podnikatel,Nižní Lhoty,552526,99,768,0,7082,19.25,19.25031938894778,0,0,0,0.0,0.0,0,0,,ANO 2011
201,69,4,47,Ivan,Vrba,Mgr.,,61,právník,Frýdek-Místek,598003,47,47,0,4758,12.93,12.93321373236565,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
