pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Bratský,Petr, ,1955-04-08,M,
Ing.,Dub,Tomáš, ,1967-12-12,M,
Mgr.,Mallotová,Helena, ,1944-10-26,Ž,
 ,Novotný,Zbyněk, ,1967-01-09,M,
Ing.,Beneš,František,CSc.,1944-10-08,M,
Ing.,Dolejš,Jiří, ,1961-01-24,M,
MUDr.,Říha,Vladimír, ,1949-03-17,M,
Mgr.,Čurdová,Anna, ,1962-04-19,Ž,
Dr.,Rouček,Libor, ,1954-09-04,M,
MVDr.,Řihák,Josef, ,1959-04-25,M,
 ,Třešňák,Jiří, ,1938-07-30,M,
 ,Fialová,Jiřina, ,1950-03-29,Ž,
Ing.,Vostrá,Miloslava, ,1965-05-26,Ž,
Ing.,Mládek,Jan,CSc.,1960-06-01,M,
RSDr.,Braný,Petr, ,1951-05-25,M,
Ing.,Čada,Vladimír, ,1961-11-01,M,
Ing.,Votava,Václav, ,1956-06-18,M,
JUDr.,Pospíšil,Jiří, ,1975-11-24,M,
Mgr.,Levá,Ivana, ,1950-06-16,Ž,
RSDr.,Urban,Ladislav, ,1945-01-09,M,
 ,Mikuta,Josef, ,1956-05-04,M,
Ing.,Patera,Miloš, ,1962-01-26,M,
 ,Suk,Lubomír, ,1960-09-06,M,
MUDr.,Krákora,Jaroslav, ,1955-10-25,M,
Ing.,Bíža,Josef, ,1950-02-17,M,
Ing.,Pátek,Miroslav, ,1944-10-22,M,20.02.2009
Ing.,Šenfeld,Josef, ,1961-11-13,M,
Bc.,Němec,Oldřich, ,1956-01-01,M,
Ing.,Vojtilová,Jitka, ,1962-09-28,Ž,
 ,Hasil,Tomáš, ,1961-10-01,M,
MUDr.,Kott,Petr, ,1962-09-11,M,
RNDr.,Pelc,František, ,1962-10-04,M,
Ing.,Šedivá,Iva, ,1955-03-15,Ž,
 ,Dlab,Vlastimil, ,1951-12-05,M,
Mgr.,Marková,Soňa, ,1963-02-25,Ž,
Ing.,Hanuš,Jiří, ,1948-04-18,M,
Ing.,Váňa,Miroslav, ,1961-03-08,M,
PaedDr.,Gruntová,Jitka, ,1945-05-08,Ž,
Ing.,Zgarba,Petr, ,1959-09-18,M,
Mgr.,Bičík,Milan, ,1949-12-17,M,
JUDr.,Rusová,Marie, ,1950-12-04,Ž,
JUDr.,Hašek,Michal, ,1976-04-17,M,
Ing.,Kala,Miloslav, ,1963-08-03,M,
Ing.,Strnad,František, ,1944-02-07,M,
Ing. arch.,Mencl,Václav, ,1943-04-05,M,
Mgr.,Šeich,David, ,1976-12-09,M,
RNDr.,Bayerová,Marta, ,1956-05-31,Ž,
Ing.,Býček,Ladislav, ,1944-10-08,M,
RSDr.,Zralý,Antonín, ,1944-02-18,M,
Ing.,Ostrý,Vlastimil, ,1966-11-06,M,
Ing.,Krill,Petr, ,1941-05-27,M,
RSDr.,Černý,Alexander, ,1953-05-21,M,
 ,Mlčák,Ladislav, ,1947-01-05,M,
Ing.,Vykydal,Ivo, ,1964-10-01,M,
Ing.,Seďa,Antonín, ,1960-12-12,M,
 ,Smýkal,Josef, ,1954-11-07,M,
Mgr.,Antolák,Vlastislav, ,1942-04-27,M,
RNDr.,Koníček,Vladimír, ,1964-02-23,M,
Ing.,Hovorka,Ludvík, ,1963-06-13,M,
Ing.,Škopík,Jan, ,1945-07-22,M,
MUDr.,Kubinyi,Jozef,Ph.D.,1955-07-21,M,
Ing.,Michalík,Alfréd, ,1944-08-25,M,
Ing.,Rafaj,Petr, ,1961-06-23,M,
 ,Sýkora,Antonín, ,1943-04-11,M,
JUDr.,Šedivá,Hana, ,1956-08-25,Ž,
Ing.,Konečná,Kateřina, ,1981-01-20,Ž,
RSDr.,Opálka,Miroslav, ,1952-10-09,M,
MVDr.,Bielesz,Marian, ,1963-11-14,M,
 ,Vícha,Josef, ,1949-10-22,M,
 ,Fischerová,Taťána, ,1947-06-06,Ž,
 ,Maršíček,Zdeněk, ,1956-06-30,M,
PhDr.,Böhnisch,Robin, ,1976-11-23,M,
 ,Vokáč,Robert, ,1958-06-23,M,
 ,Vrbík,Tomáš, ,1973-01-15,M,
MUDr.,Kochan,Jozef, ,1946-03-17,M,
 ,Tluchoř,Petr, ,1968-01-06,M,
Ing.,Poláček,Josef, ,1948-08-13,M,
Ing.,Schwippel,Jan,CSc.,1966-12-08,M,
Ing.,Bauer,Jan, ,1969-04-27,M,
RSDr.,Švarcbek,Josef, ,1955-01-02,M,
Ing.,Reiber,Vladimír, ,1948-05-05,M,
Ing.,Kratochvíle,Karel, ,1958-04-27,M,
Ing.,Máša,Miloš, ,1940-04-22,M,
Ing.,Mocová,Dagmar, ,1947-05-06,Ž,
 ,Vomáčko,Ladislav, ,1944-04-12,M,
Ing.,Koníček,František, ,1953-05-17,M,
Mgr.,Hamplová,Jana, ,1965-05-18,Ž,
Ing.,Kubuš,Pavol, ,1952-10-28,M,
PhDr.,Mazuchová,Lenka, ,1958-07-07,Ž,
 ,Zapletal,Cyril, ,1949-07-15,M,
 ,Černohorská,Silva, ,1938-01-31,Ž,
Mgr.,Domesová,Zuzana, ,1948-11-29,Ž,
